id,username,bot_vector,user_vector
1,bot1,0.1 0.1 0.1 0.1 0.3 0.1 0.7 0.1 0.5 0.1,0.9968697 0.0162079 0.0193552 0.0193522 0.0305594 0.0134614 0.0460978 0.0204044 0.0372821 0.0138743
2,bot2,0.1 0.1 0.3 0.1 0.1 0.3 0.1 0.1 0.1 0.1,0.9978381 0.0161366 0.0409561 0.0176708 0.0163214 0.0242398 0.0177924 0.0193168 0.0180496 0.0141322
3,bot3,0.1 0.3 0.1 0.3 0.1 0.1 0.3 0.1 0.5 0.1,0.9972288 0.0302647 0.0182846 0.0301424 0.0160284 0.0145228 0.0306119 0.0182657 0.0380677 0.0137207
4,bot4,0.1 0.1 0.3 0.1 0.1 0.5 0.1 0.1 0.1 0.1,0.9978169 0.0169108 0.0348606 0.0197564 0.0171569 0.0276172 0.0195071 0.0202546 0.0191635 0.0159624
5,bot5,0.1 0.1 0.1 0.1 0.9 0.1 0.5 0.1 0.9 0.1,0.9962941 0.0165105 0.0196891 0.0176621 0.0438110 0.0138328 0.0362858 0.0195745 0.0489015 0.0149670
6,bot6,0.1 0.1 0.1 0.1 0.3 0.1 0.1 0.1 0.5 0.1,0.9974709 0.0171062 0.0211312 0.0199540 0.0303909 0.0158979 0.0185681 0.0206716 0.0413111 0.0161074
7,bot7,0.1 0.1 0.1 0.1 0.7 0.1 0.7 0.1 0.5 0.1,0.9965522 0.0167328 0.0199104 0.0185915 0.0395103 0.0150907 0.0463210 0.0195383 0.0363607 0.0149483
8,bot8,0.1 0.1 0.7 0.1 0.1 0.3 0.1 0.1 0.1 0.1,0.0045034 0.0004769 0.9999886 0.0005378 0.0004597 0.0008405 0.0004869 0.0005894 0.0005325 0.0004042
9,bot9,0.3 0.1 0.1 0.1 0.1 0.7 0.1 0.7 0.1 0.7,0.9999611 0.0018042 0.0021689 0.0019939 0.0017339 0.0038377 0.0018666 0.0050064 0.0018335 0.0040345
10,bot10,0.1 0.1 0.1 0.1 0.9 0.1 0.3 0.1 0.9 0.1,0.9959909 0.0161345 0.0189793 0.0179998 0.0457033 0.0153314 0.0396011 0.0204451 0.0503552 0.0145589
11,bot11,0.7 0.1 0.1 0.1 0.1 0.7 0.1 0.5 0.1 0.3,0.9999989 0.0003086 0.0003997 0.0003486 0.0003127 0.0006739 0.0003198 0.0008722 0.0003297 0.0004946
12,bot12,0.5 0.1 0.1 0.1 0.1 0.7 0.1 0.3 0.1 0.5,0.9999936 0.0008442 0.0009528 0.0008831 0.0008210 0.0016453 0.0008160 0.0016927 0.0008912 0.0016423
13,bot13,0.1 0.1 0.9 0.1 0.1 0.1 0.1 0.1 0.1 0.7,0.0010105 0.0001793 0.9999993 0.0001838 0.0001846 0.0001465 0.0001852 0.0002210 0.0001939 0.0003968
14,bot14,0.1 0.7 0.1 0.5 0.1 0.1 0.1 0.1 0.1 0.7,0.9966328 0.0427305 0.0204030 0.0374076 0.0165098 0.0151410 0.0171643 0.0209826 0.0184670 0.0387803
15,bot15,0.1 0.1 0.1 0.1 0.1 0.1 0.7 0.1 0.3 0.1,0.9976306 0.0165083 0.0182818 0.0184599 0.0167735 0.0145650 0.0405343 0.0209150 0.0313708 0.0150880
16,bot16,0.1 0.5 0.1 0.5 0.1 0.1 0.5 0.1 0.9 0.1,0.4988130 0.3112871 0.1875784 0.3529776 0.1441369 0.1501189 0.4072290 0.1913031 0.4794946 0.1372902
17,bot17,0.1 0.1 0.1 0.1 0.1 0.1 0.5 0.1 0.7 0.1,0.9973824 0.0162650 0.0203776 0.0184190 0.0153934 0.0138239 0.0356581 0.0216543 0.0432958 0.0128970
18,bot18,0.1 0.1 0.3 0.1 0.1 0.1 0.1 0.1 0.1 0.5,0.9976881 0.0175475 0.0330065 0.0190287 0.0186955 0.0157302 0.0184094 0.0194873 0.0181121 0.0348617
19,bot19,0.1 0.1 0.1 0.1 0.7 0.1 0.9 0.1 0.7 0.1,0.9962268 0.0160699 0.0181306 0.0175511 0.0428710 0.0137149 0.0481832 0.0196573 0.0408917 0.0151972
20,bot20,0.7 0.1 0.1 0.1 0.1 0.5 0.1 0.9 0.1 0.9,0.6151996 0.0000135 0.0000159 0.0000154 0.0000135 0.0000257 0.0000140 0.7883714 0.0000148 0.0000333
