id,username,bot_vector,user_vector
1,bot1,0.1 0.1 0.1 0.1 0.3 0.1 0.7 0.1 0.5 0.1,0.0085795 0.0003286 0.0003921 0.0003918 0.0006189 0.0002724 0.9999623 0.0004131 0.0007549 0.0002810
2,bot2,0.1 0.1 0.3 0.1 0.1 0.3 0.1 0.1 0.1 0.1,0.5392869 0.0014001 0.8421104 0.0013937 0.0014405 0.0022171 0.0014763 0.0016837 0.0014909 0.0012251
3,bot3,0.1 0.3 0.1 0.3 0.1 0.1 0.3 0.1 0.5 0.1,0.9970779 0.0309406 0.0198531 0.0312451 0.0162856 0.0142465 0.0322031 0.0198216 0.0372936 0.0147991
4,bot4,0.1 0.1 0.3 0.1 0.1 0.5 0.1 0.1 0.1 0.1,0.9978433 0.0168034 0.0344880 0.0186367 0.0173302 0.0305458 0.0153852 0.0209846 0.0181023 0.0158612
5,bot5,0.1 0.1 0.1 0.1 0.9 0.1 0.5 0.1 0.9 0.1,0.0000305 0.0000072 0.0000097 0.0000077 0.7239456 0.0000062 0.0000168 0.0000077 0.6898570 0.0000064
6,bot6,0.1 0.1 0.1 0.1 0.3 0.1 0.1 0.1 0.5 0.1,0.0382888 0.0008521 0.0009760 0.0008767 0.0014883 0.0006626 0.0007750 0.0009731 0.9992631 0.0007054
7,bot7,0.1 0.1 0.1 0.1 0.7 0.1 0.7 0.1 0.5 0.1,0.0082415 0.0003845 0.0004626 0.0004438 0.0009302 0.0003511 0.9999648 0.0004857 0.0008162 0.0003222
8,bot8,0.1 0.1 0.7 0.1 0.1 0.3 0.1 0.1 0.1 0.1,0.0161622 0.0003932 0.9998686 0.0004203 0.0004052 0.0006025 0.0004525 0.0004784 0.0004672 0.0003776
9,bot9,0.3 0.1 0.1 0.1 0.1 0.7 0.1 0.7 0.1 0.7,0.5975080 0.0000803 0.0000907 0.0000829 0.0000745 0.0001703 0.0000811 0.8018629 0.0000713 0.0001602
10,bot10,0.1 0.1 0.1 0.1 0.9 0.1 0.3 0.1 0.9 0.1,0.0000303 0.0000077 0.0000097 0.0000089 0.7245637 0.0000062 0.0000134 0.0000098 0.6892078 0.0000066
11,bot11,0.7 0.1 0.1 0.1 0.1 0.7 0.1 0.5 0.1 0.3,0.6866908 0.0000398 0.0000483 0.0000473 0.0000408 0.0000842 0.0000446 0.7269496 0.0000435 0.0000665
12,bot12,0.5 0.1 0.1 0.1 0.1 0.7 0.1 0.3 0.1 0.5,0.9999920 0.0009270 0.0010583 0.0009217 0.0009031 0.0018540 0.0009875 0.0018746 0.0010149 0.0018659
13,bot13,0.1 0.1 0.9 0.1 0.1 0.1 0.1 0.1 0.1 0.7,0.0024883 0.0001630 0.9999967 0.0001811 0.0001554 0.0001431 0.0001611 0.0001849 0.0001672 0.0003482
14,bot14,0.1 0.7 0.1 0.5 0.1 0.1 0.1 0.1 0.1 0.7,0.0051158 0.9999855 0.0005463 0.0008722 0.0004038 0.0003557 0.0004675 0.0005226 0.0004750 0.0008442
15,bot15,0.1 0.1 0.1 0.1 0.1 0.1 0.7 0.1 0.3 0.1,-0.0013459 0.0005965 0.0006892 0.0006468 0.0005164 0.0004320 0.9999974 0.0006403 0.0010084 0.0004952
16,bot16,0.1 0.5 0.1 0.5 0.1 0.1 0.5 0.1 0.9 0.1,0.0008628 0.0003119 0.0001870 0.0003711 0.0001548 0.0001391 0.0003561 0.0001833 0.9999994 0.0001419
