id,username,bot_vector,user_vector
1,bot1,0.1 0.1 0.1 0.1 0.3 0.1 0.7 0.1 0.5 0.1,0.5832287 0.1665299 0.1988645 0.1988319 0.3139773 0.1383071 0.4736268 0.2096459 0.3830469 0.1425540
2,bot2,0.1 0.1 0.3 0.1 0.1 0.3 0.1 0.1 0.1 0.1,0.9977950 0.0168295 0.0360678 0.0194356 0.0166614 0.0284848 0.0181945 0.0215547 0.0180853 0.0152200
3,bot3,0.1 0.3 0.1 0.3 0.1 0.1 0.3 0.1 0.5 0.1,0.5830932 0.2870809 0.1978847 0.3373986 0.1744204 0.1502165 0.3538890 0.2132169 0.4175484 0.1629654
4,bot4,0.1 0.1 0.3 0.1 0.1 0.5 0.1 0.1 0.1 0.1,0.9977879 0.0173346 0.0349593 0.0170007 0.0165988 0.0319592 0.0172680 0.0210490 0.0187799 0.0147212
5,bot5,0.1 0.1 0.1 0.1 0.9 0.1 0.5 0.1 0.9 0.1,0.5138299 0.1582393 0.1909491 0.1657543 0.4350957 0.1430907 0.3931252 0.1807520 0.4796572 0.1411739
6,bot6,0.1 0.1 0.1 0.1 0.3 0.1 0.1 0.1 0.5 0.1,-0.5119724 0.2204304 0.2541695 0.2409675 0.3751591 0.1842535 0.2317874 0.2634137 0.4888197 0.1728487
7,bot7,0.1 0.1 0.1 0.1 0.7 0.1 0.7 0.1 0.5 0.1,0.5573119 0.1831660 0.2115743 0.1753933 0.4101318 0.1495027 0.4495562 0.2069091 0.3479102 0.1543190
8,bot8,0.1 0.1 0.7 0.1 0.1 0.3 0.1 0.1 0.1 0.1,0.9973903 0.0172808 0.0488370 0.0166173 0.0161442 0.0262524 0.0174035 0.0212916 0.0181746 0.0147083
9,bot9,0.3 0.1 0.1 0.1 0.1 0.7 0.1 0.7 0.1 0.7,0.9999490 0.0021109 0.0025595 0.0020751 0.0019926 0.0044479 0.0021511 0.0054769 0.0023141 0.0047890
10,bot10,0.1 0.1 0.1 0.1 0.9 0.1 0.3 0.1 0.9 0.1,0.5377641 0.1697087 0.1908381 0.1703931 0.4517057 0.1235156 0.3026292 0.1908127 0.4969343 0.1494118
11,bot11,0.7 0.1 0.1 0.1 0.1 0.7 0.1 0.5 0.1 0.3,0.9999986 0.0003435 0.0004440 0.0003591 0.0003474 0.0007626 0.0003558 0.0009598 0.0003710 0.0006144
12,bot12,0.5 0.1 0.1 0.1 0.1 0.7 0.1 0.3 0.1 0.5,0.9999941 0.0007478 0.0009357 0.0007693 0.0007496 0.0016393 0.0007990 0.0017232 0.0008367 0.0014692
